Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
42	:	1715970619.879	   847.049	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 5875 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
43	:	1715971466.960	   319.661	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 8125 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
44	:	1715971786.655	   127.246	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 9736 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
38	:	1715969026.805	  3850.299	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 7541 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
46	:	1715972877.148	   206.480	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 2575 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
47	:	1715973083.653	   151.545	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 4455 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
48	:	1715973235.227	   274.769	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 4318 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
49	:	1715973510.027	  1213.575	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 9669 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
45	:	1715971913.931	  3824.105	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 5269 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
51	:	1715975738.067	  1435.006	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 2780 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
52	:	1715977173.102	   832.319	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 9409 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
50	:	1715974723.631	  3783.598	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 7821 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
53	:	1715978005.458	   549.251	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 9843 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
54	:	1715978507.262	   134.024	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 9806 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
56	:	1715978641.318	   143.001	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 9523 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
55	:	1715978554.749	   554.949	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 9874 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
58	:	1715979109.730	  1049.900	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 1922 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
59	:	1715980159.664	   215.534	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 3629 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
57	:	1715978784.345	  3703.598	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 2933 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
60	:	1715980375.231	  2386.223	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 5388 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
62	:	1715982761.484	    32.763	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 9844 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
63	:	1715982794.280	   373.825	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 8865 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
64	:	1715983168.142	    98.709	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 2773 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
65	:	1715983266.884	    84.542	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 9766 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
66	:	1715983351.460	   206.918	0	0	0	0	exec /usr/bin/time -f " %e, %U, %S, %M" solvitaire --type klondike --timeout 3600000 --str none --ra 4793 --class 2>&1 | sed -e 'H;${x;s/\n/,/g;s/^,//;p;};d' >> /work/sc122/sc122/ipg1/schedule-expts/full-klondike/klondike-klondike-3600000-none-IhsN1Z.csv
