seed,result,time (seconds)
984,solved,12.095
985,solved,0.003
986,solved,0
987,solved,0
988,solved,0.035
989,unsolvable,10.398
990,solved,0
991,solved,0.048
992,solved,0
993,solved,0.004
994,solved,0.034
995,solved,0.198
996,solved,0
997,unsolvable,0.497
998,unsolvable,0.071
999,solved,0
1000,unsolvable,1426.797
