seed,result,time(seconds)
1335,unsolvable,0
1336,solved,0
1337,solved,0
1338,unsolvable,7.69
1339,unsolvable,0.1
1340,solved,0
1341,solved,0
1342,unsolvable,3.48
1343,solved,0
1344,solved,0
1345,solved,0
1346,solved,0
1347,solved,0.07
1348,solved,0
1349,solved,0
1350,unsolvable,1.22
1351,solved,0.01
1352,solved,1.99
1353,solved,0
1354,solved,8.64
1355,solved,0.93
1356,solved,0
1357,unsolvable,2.59
1358,unsolvable,31.3
1359,solved,27.07
1360,solved,0.08
1361,solved,0
1362,solved,0
1363,solved,0
1364,solved,0
1365,solved,0
1366,unsolvable,0
1367,solved,0
1368,solved,11.13
1369,solved,0
1370,solved,0.02
1371,solved,0
1372,solved,0.17
1373,solved,0
1374,solved,9.54
1375,solved,0
1376,solved,0
1377,solved,0
1378,unsolvable,4.32
1379,solved,0.98
1380,solved,0.01
1381,unsolvable,17.35
1382,solved,0
1383,solved,0.02
1384,solved,0
1385,unsolvable,0
1386,solved,2.94
1387,solved,0
1388,solved,0
1389,solved,0
1390,solved,0
1391,solved,0
1392,solved,0
1393,solved,0.04
1394,solved,0
1395,solved,0
1396,solved,0.01
1397,solved,0
1398,solved,0.01
1399,solved,0
1400,unsolvable,1.83
1401,solved,0
1402,unsolvable,0.06
1403,solved,0
1404,solved,0.04
1405,solved,0.05
1406,solved,0.01
1407,unsolvable,0.59
1408,solved,0.01
1409,unsolvable,1.7
1410,solved,0.02
1411,solved,0.01
1412,solved,0.07
1413,solved,1.53
1414,solved,0
1415,unsolvable,1727.1
1416,solved,0
1417,solved,1.08
1418,solved,0
1419,solved,0
1420,solved,0
1421,unsolvable,0
1422,solved,0.34
1423,solved,0.28
1424,solved,0
1425,solved,0.01
1426,solved,0
1427,solved,0
1428,unsolvable,17668.57
1429,solved,0
1430,unsolvable,59.09
1431,solved,0
1432,unsolvable,0.47
1433,unsolvable,131.5
1434,solved,15.27
1435,solved,0
1436,unsolvable,0.18
1437,unsolvable,0
1438,solved,0
1439,solved,0.07
1440,solved,5.31
1441,solved,0
1442,unsolvable,0.8
1443,unsolvable,16.56
1444,unsolvable,11.61
1445,solved,0
1446,solved,0
1447,solved,0
1448,solved,0.07
1449,solved,0.48
1450,solved,0.04
1451,solved,1.5
1452,solved,0
1453,solved,245.58
1454,solved,0
1455,solved,0.49
1456,solved,0
1457,unsolvable,0.07
1458,solved,0
1459,solved,0
1460,solved,0.01
1461,solved,0.04
1462,solved,0.18
1463,solved,0.01
1464,solved,0
1465,unsolvable,0.39
1466,unsolvable,39.48
1467,solved,0.85
1468,solved,0.23
1469,solved,0
1470,solved,0.1
1471,unsolvable,0.7
1472,solved,0
1473,solved,8.52
1474,unsolvable,0.07
1475,unsolvable,0
1476,solved,0.02
1477,solved,0.03
1478,solved,1.02
1479,solved,0.01
1480,solved,70.42
1481,solved,0.02
1482,solved,75.59
1483,solved,0
1484,solved,0
1485,solved,0
1486,solved,0
1487,solved,0
1488,solved,0.25
1489,unsolvable,5.88
1490,solved,0.4
1491,solved,0
1492,unsolvable,76.19
1493,solved,0.76
1494,solved,0
1495,solved,0.12
1496,solved,0
1497,solved,0
1498,unsolvable,197.45
1499,solved,6.85
1500,solved,0
1501,solved,0
1502,solved,0
1503,solved,10.32
1504,solved,0.08
1505,solved,0.03
1506,solved,0
1507,unsolvable,0
1508,solved,0.01
1509,unsolvable,67.17
1510,solved,0.03
1511,solved,0
1512,solved,0
1513,solved,0
1514,solved,3.41
1515,solved,2.36
1516,solved,0
1517,solved,0
1518,solved,0
1519,solved,0.79
1520,solved,0
1521,solved,0
1522,solved,0.06
1523,unsolvable,0
1524,solved,0
1525,solved,0.13
1526,unsolvable,0
1527,solved,0
1528,solved,0
1529,unsolvable,0
1530,solved,0.26
1531,solved,0.01
1532,solved,0.01
1533,unsolvable,0
1534,solved,0
1535,solved,1.2
1536,solved,0.78
1537,solved,1.07
1538,solved,0
1539,solved,0
1540,unsolvable,14.86
1541,solved,0.13
1542,solved,4.25
